Age,Employment_Status,Employment_Duration,Industry_Sector,Education_Level,Marital_Status,Housing_Status,Years_at_Residence,Number_of_Dependents,City_Region,Annual_Income,Total_Debt,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Score,Credit_History_Length,Number_of_Existing_Loans,Total_Credit_Limit,Credit_Utilization_Rate,Savings_Account_Balance,Checking_Account_Balance,Total_Assets,Net_Worth,Number_of_Late_Payments,Worst_Delinquency_Status,Months_since_Last_Delinquency,Number_of_Credit_Inquiries,Number_of_Open_Credit_Lines,Number_of_Derogatory_Records,Bankruptcy_Flag,Credit_Mix,Loan_Amount_Requested,Loan_Term_Months,Loan_Purpose,Payment_to_Income_Ratio,Collateral_Type,Collateral_Value,Transaction_Amount,Transaction_Frequency,Transaction_Location,Days_since_Last_Transaction,Avg_Probability_of_Default,Avg_Risk_Weighted_Assets,DPD_Trigger_Count,Bankruptcy_Trigger_Flag,Cash_Flow_Volatility,Seasonal_Spending_Pattern,Custom_Risk_Score,Credit_Risk_Score,Default_Flag
69,Self-Employed,3,Education,University,Married,Rent,0,1,East,98826,297.27766442774026,0.0030080916401325,0.1437374779916216,388,24,1,500,0.5945553288554806,9430,14905,0,-297.27766442774026,3,0,4,0,2,1,False,Installment,14205,60,Debt Consolidation,0.0287474955983243,Vehicle,15588,105,4,South,12,0.0329400689060451,8074,4,False,0,Low,252,850.0,False
74,Employed,1,Tech,University,Single,Own,6,0,North,51581,15984.0,0.3098815455303309,0.1340028304996025,352,11,2,59025,0.2708005082592122,25731,2029,158910,142926.0,1,1,0,2,3,0,False,Revolving,6912,48,Debt Consolidation,0.0335007076249006,Vehicle,165889,122,9,East,45,0.0853321507033528,56688,3,False,741,Low,145,805.0,False
20,Employed,12,Healthcare,University,Married,Rent,0,5,South,58112,2463.4155968753157,0.0423908245607674,0.4971434471365639,300,2,0,2981,0.826372223037677,10110,49613,184701,182237.5844031247,1,1,4,0,0,1,False,Installment,28890,36,Business,0.1657144823788546,Real Estate,95056,457,14,East,176,0.3299019634345371,0,6,False,1736,Low,296,788.0,False
54,Employed,2,Finance,University,Others,Rent,3,2,East,68936,4740.0,0.0687594290356272,0.2663775095740977,362,20,4,50008,0.0947848344264917,32505,9488,239746,235006.0,5,3,53,1,5,0,False,Revolving,18363,36,Debt Consolidation,0.0887925031913659,None,0,272,12,East,13,0.2616584851032265,13753,0,False,0,High,195,850.0,False
68,Employed,5,Healthcare,High School,Married,Rent,15,2,West,14212,11506.60345491366,0.8096399841622334,1.0,300,10,2,88943,0.1293705345548684,27236,20542,288856,277349.39654508635,3,3,26,2,0,0,False,Installment,16006,48,Business,0.2815578384463833,None,0,219,15,East,193,0.1410904273647978,67171,2,False,806,Low,251,595.0,True
24,Employed,9,Education,Graduate,Married,Rent,13,1,West,27016,15780.0,0.5840983121113414,0.7898652650281315,321,8,0,63610,0.2480742021694702,13663,3915,159819,144039.0,0,3,43,0,2,0,False,Revolving,21339,36,Business,0.2632884216760438,None,0,140,10,South,273,0.0459025810422191,0,1,False,14628,Low,210,652.0,False
38,Self-Employed,20,Tech,High School,Single,Own,9,1,West,131749,52.03327588722986,0.0003949424730907,0.1064220601294886,337,6,0,500,0.1040665517744597,66331,9836,163959,163906.96672411278,3,1,56,2,5,1,False,Revolving,14021,60,Business,0.0212844120258977,Real Estate,131652,82,11,West,310,0.2224960681367252,0,3,False,0,High,255,850.0,False
26,Unemployed,3,Other,University,Single,Own,0,0,South,99164,761.0,0.0076741559436892,0.2044088580533258,430,2,1,95935,0.0079324542659092,47532,6543,334910,334149.0,3,1,52,0,2,0,False,Installment,20270,36,Business,0.0681362860177752,Real Estate,32537,68,16,North,12,0.1888875762760516,72715,3,False,6114,Medium,105,850.0,False
56,Employed,3,Tech,Graduate,Married,Own,4,2,North,39816,3252.0,0.0816757082579867,0.3574191279887482,350,12,3,83073,0.0391462930193925,1735,13930,0,-3252.0,2,1,32,1,4,0,False,Revolving,14231,36,Other,0.1191397093295827,None,0,92,6,South,48,0.1232799455558767,22010,0,False,0,Low,103,850.0,False
35,Self-Employed,0,Education,High School,Single,Own,7,1,South,30559,24683.761200958324,0.8077411303039472,0.4406885042049805,300,24,4,26993,0.914450457561528,12125,28464,0,-24683.761200958324,7,3,57,1,2,1,False,Revolving,13467,48,Debt Consolidation,0.1101721260512451,None,0,191,9,North,315,0.2303500027538431,34225,1,False,10268,Low,483,443.0,False
21,Unemployed,0,Tech,Graduate,Married,Own,0,0,East,86475,141.5135325378945,0.0016364675633176,0.3233188782885227,300,9,4,500,0.283027065075789,372,12747,351242,351100.4864674621,4,3,39,2,4,0,False,Installment,27959,60,Other,0.0646637756577045,Real Estate,51332,266,9,West,297,0.142365518291192,268796,1,False,3463,Medium,167,835.0,False
42,Employed,4,Other,High School,Single,Own,0,3,South,130162,49.9618727574244,0.000383843769744,0.0076827338240039,532,9,3,7123,0.0070141615551627,19680,5010,94147,94097.03812724256,2,2,21,0,3,1,False,Installment,1000,12,Home Improvement,0.0076827338240039,Real Estate,0,99,9,South,287,0.1457574549050138,189802,0,False,11551,Low,160,850.0,False
31,Employed,0,Finance,High School,Married,Mortgage,0,1,North,56959,34097.0,0.598623571340789,0.5780473674046244,346,6,0,84829,0.4019498049016256,3813,36688,0,-34097.0,1,3,59,0,2,0,False,Revolving,32925,48,Other,0.1445118418511561,Real Estate,39386,47,9,East,309,0.2244596859492768,111021,0,False,0,Medium,200,725.0,False
67,Unemployed,2,Tech,University,Married,Rent,2,2,South,60237,12523.0,0.2078954795225525,0.0714677025748294,333,20,2,25818,0.485049190487257,1565,781,208262,195739.0,6,3,17,2,4,1,False,Mortgage,4305,36,Home Improvement,0.0238225675249431,Real Estate,0,54,11,West,89,0.1337970546491238,0,2,False,7643,Medium,344,711.0,False
75,Employed,0,Education,University,Married,Rent,12,2,West,111187,10257.0,0.0922499932546071,0.1378218676643852,466,18,1,40447,0.2535911192424654,15662,6419,224002,213745.0,4,2,0,1,4,0,False,Revolving,15324,24,Other,0.0689109338321926,Vehicle,203250,61,9,South,129,0.1645778949205257,128484,0,False,11216,Low,210,850.0,False
26,Unemployed,4,Tech,University,Single,Rent,4,0,West,46847,15734.0,0.3358592866138707,0.021346084060879,300,3,0,55129,0.2854033267427306,2900,4493,345385,329651.0,5,3,58,0,2,0,False,Revolving,1000,36,Home Improvement,0.0071153613536263,None,0,146,10,West,17,0.1192094559807274,1742,0,False,957,Low,246,705.0,False
43,Unemployed,2,Other,High School,Married,Mortgage,11,1,West,67942,55288.0,0.8137529068911719,0.2328162256041918,307,10,3,115732,0.4777243977465178,61163,16379,340509,285221.0,5,3,49,0,2,1,False,Installment,15818,36,Business,0.0776054085347306,None,0,300,13,East,290,0.2188740119060007,137709,4,False,14379,Medium,405,540.0,False
70,Self-Employed,0,Education,University,Single,Own,0,0,West,64512,16827.0,0.2608351934523809,0.3074311755952381,300,14,1,19425,0.8662548262548263,36325,9740,310088,293261.0,4,1,4,1,4,0,False,Installment,19833,24,Home Improvement,0.153715587797619,Real Estate,0,34,5,South,194,0.1019215489230154,31393,1,False,6042,Medium,270,678.0,False
19,Self-Employed,1,Tech,High School,Single,Own,0,1,West,14189,2209.0,0.155683980548312,0.7035027133695116,300,2,2,109727,0.0201317816034339,41328,987,2620,411.0,4,2,49,0,2,0,False,Installment,9982,36,Other,0.2345009044565038,Vehicle,199612,101,13,East,96,0.0266546230931689,16091,0,False,26806,Low,126,653.0,False
37,Self-Employed,4,Education,University,Married,Own,9,1,West,80322,12764.0,0.1589103856975673,0.3503149821966584,407,11,3,81141,0.1573064172243378,16451,7138,74979,62215.0,4,3,35,1,8,0,False,Installment,28138,24,Business,0.1751574910983292,None,0,318,10,West,249,0.0789643293159317,12253,1,False,5019,Medium,185,850.0,False
45,Self-Employed,5,Other,University,Married,Rent,4,0,East,11259,76195.0,1.0,0.816768807176481,312,24,0,136742,0.557217241228006,28776,16177,286469,210274.0,4,1,4,1,7,0,False,Revolving,9196,36,Home Improvement,0.272256269058827,None,0,63,8,West,146,0.0517406181514842,43592,3,False,13442,Medium,374,445.0,False
64,Employed,3,Finance,Graduate,Single,Rent,3,1,South,48601,180.2140092265277,0.0037080308887991,0.4390444641056768,300,21,1,500,0.3604280184530554,40757,8954,358897,358716.78599077347,4,2,3,0,5,0,False,Revolving,21338,48,Home Improvement,0.1097611160264192,None,0,331,10,South,194,0.1558014447091452,83315,3,False,0,Medium,212,800.0,False
24,Employed,8,Other,University,Single,Own,3,2,North,10000,12404.0,1.0,0.1,300,6,2,50988,0.243272926963207,6428,4147,287926,275522.0,2,0,42,1,1,0,False,Revolving,1000,36,Home Improvement,0.0333333333333333,None,0,99,9,West,122,0.1313132535594955,0,2,False,0,Low,374,548.0,False
61,Employed,0,Finance,High School,Married,Mortgage,2,2,West,54798,23885.0,0.4358735720281762,0.2835322457023979,380,16,1,147462,0.1619739322672959,699,3459,204809,180924.0,2,1,34,1,1,0,False,Revolving,15537,36,Debt Consolidation,0.0945107485674659,Vehicle,0,233,12,West,274,0.048454197080047,26165,0,False,12267,High,229,745.0,False
25,Self-Employed,0,Healthcare,Graduate,Married,Own,13,1,North,104035,9081.0,0.0872879319459797,0.0831066468015571,435,6,4,64701,0.1403533175685074,9093,30518,228463,219382.0,4,2,43,3,10,0,False,Revolving,8646,48,Business,0.0207766617003892,Real Estate,153150,128,10,North,44,0.2574701652936559,39692,2,False,7715,Low,111,850.0,False
64,Employed,0,Other,Graduate,Single,Rent,4,1,South,68391,3474.3497475169,0.050801271329808,0.2268719568364258,300,13,3,41780,0.0831582036265414,6045,1495,55379,51904.6502524831,3,1,36,0,6,1,False,Installment,15516,24,Other,0.1134359784182129,None,0,11,12,West,314,0.0857225174336074,71439,2,False,0,Medium,220,850.0,False
52,Employed,3,Finance,Graduate,Married,Rent,21,1,West,12907,4738.142541668667,0.3670986706181658,1.0,300,7,1,11855,0.3996746133841136,40471,10811,61540,56801.85745833133,4,1,45,2,5,2,False,Revolving,22664,24,Debt Consolidation,0.5,Real Estate,52808,12,13,East,103,0.140268614580198,53664,3,False,6875,Low,462,640.0,False
31,Employed,6,Healthcare,University,Single,Own,11,1,East,107306,1964.0,0.0183027976068439,0.1158742288408849,437,7,1,95183,0.0206339367323996,4089,47049,0,-1964.0,1,2,13,3,1,0,False,Revolving,12434,36,Home Improvement,0.0386247429469616,Real Estate,87143,96,5,East,193,0.1278468811353701,95432,0,False,5398,High,47,850.0,False
34,Self-Employed,0,Healthcare,University,Single,Rent,8,0,South,20911,7981.0,0.3816651523121802,0.0478217206255081,300,10,3,71008,0.1123957863902658,9829,1873,148672,140691.0,7,1,51,0,2,0,False,Revolving,1000,36,Business,0.015940573541836,None,0,368,17,West,204,0.0615613839199765,28302,1,False,0,Medium,229,660.0,False
53,Unemployed,5,Healthcare,University,Married,Rent,6,0,East,38177,15852.257526870606,0.4152305714663438,0.1267779029258454,300,11,0,16541,0.9583614973018926,42644,1928,201360,185507.7424731294,5,2,32,3,3,2,False,Revolving,4840,12,Debt Consolidation,0.1267779029258454,Real Estate,81455,44,10,North,163,0.1201892332211794,0,4,False,12848,Low,516,561.0,False
67,Unemployed,3,Education,University,Single,Rent,10,1,South,108119,25050.0,0.2316891573174002,0.2867673581886625,426,15,3,109609,0.2285396272203924,48169,11251,58157,33107.0,2,2,57,1,6,0,False,Revolving,31005,48,Other,0.0716918395471656,None,0,47,10,North,5,0.0971149007556045,19038,2,False,7736,Low,111,850.0,False
57,Employed,21,Other,University,Single,Own,12,0,West,62395,81534.0,1.0,0.1655741645965221,309,8,2,153995,0.5294587486606708,2151,2467,139736,58202.0,5,4,41,0,4,0,False,Revolving,10331,48,Debt Consolidation,0.0413935411491305,None,0,463,12,West,123,0.2132561316961806,37565,1,False,5313,Medium,315,519.0,False
